"013425 ST. ANDREWS SEWANEE SCHOOL, 290 QUINTARD RD, SEWANEE, TN 37375-3071",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 15
1995125,12,3 LB,MORTON,SALT KOSHER,14710,N,1.0,24.6,24.6,0.0,0.0,0.0,36.0,24.6
2394286,1,40 LB,PACKER,SQUASH ZUCCHINI FRESH,,N,1.0,24.58,24.58,0.0,0.0,0.0,40.0,24.58
1854694,1,25 LB,SYS CLS,SUGAR BROWN LIGHT CANE,404347,N,1.0,24.47,24.47,0.0,0.0,0.0,25.0,24.47
3723129,100,1 OZ,PHILA,CHEESE CREAM STRAWBERRY SPREAD,10021000726834,N,1.0,23.49,23.49,0.0,0.0,0.0,6.25,23.49
4110235,6,#10,SYS CLS,BEAN KIDNEY LIGHT RED,4110235,N,1.0,23.27,23.27,0.0,0.0,0.0,41.25,23.27
4096368,4,1 GAL,SYS IMP,SAUCE TARTAR HIDDEN COVE,748650001700,N,0.0,0.0,0.0,2.0,22.94,11.47,15.75,22.94
1892934,24,12 CT,MISSION,TORTILLA FLOUR PRESSED 6 IN,10400,N,1.0,22.43,22.43,0.0,0.0,0.0,19.5,22.43
8159287,6,12 CT,MISSION,WRAP TORTILLA GRLIC HERB 12 IN,10252,N,1.0,22.36,22.36,0.0,0.0,0.0,16.5,22.36
4802753,1,40 LB,RELFRSH,POTATO SWEET #2 FRSH,,N,1.0,22.04,22.04,0.0,0.0,0.0,40.0,22.04
7468556,24,20 OZ,GATRADE,DRINK ORANGE WIDEMOUTH PLST,10052000328674,N,1.0,21.89,21.89,0.0,0.0,0.0,36.0,21.89
8640807,24,20 OZ,GATRADE,DRINK FROST GLACIER FREEZE WDM,10052000324867,N,1.0,21.89,21.89,0.0,0.0,0.0,34.0,21.89
7468515,24,20 OZ,GATRADE,DRINK FRUIT PUNCH WIDEMOUTH PL,32866,N,1.0,21.89,21.89,0.0,0.0,0.0,36.0,21.89
4908760,1000,9 GM,HUNTS,KETCHUP PACKET FCY,2700038287,N,1.0,21.68,21.68,0.0,0.0,0.0,19.84,21.68
6889125,1,10 LB,OCNSPRY,CRANBERRY DRIED CRAISINS,3477,N,1.0,21.4,21.4,0.0,0.0,0.0,10.0,21.4
1317908,1,2 GAL,BBRLCLS,SAUERKRAUT SHREDDED FCY REF,9296610185,N,1.0,21.27,21.27,0.0,0.0,0.0,15.87,21.27
5469259,2,2.2 LB,BBRLIMP,CHEESE BRIE WHL DOMSTC 1 KG,7000820,N,1.0,20.14,20.14,0.0,0.0,0.0,4.4,20.14
4645446,3,2 LB,SYS CLS,SUNFLOWER KERNEL OIL RST SALT,4645446,N,1.0,20.07,20.07,0.0,0.0,0.0,6.0,20.07
1656693,12,33.8OZ,SAN PEL,WATER MINERAL SPARKLING,69248-0,N,1.0,19.9,19.9,0.0,0.0,0.0,27.0,19.9
7150404,1,18-24#,PACKER,SQUASH YELLOW S/N MEDIUM FRESH,,N,1.0,19.78,19.78,0.0,0.0,0.0,24.0,19.78
5874847,1,5 LB,CHFCOMP,COCOA PWDR 10-12%BFAT,58223,N,1.0,19.54,19.54,0.0,0.0,0.0,5.0,19.54
7435266,1,18 IN,SYS CLS,FILM PVC ROLL 2000FT,9063,N,1.0,19.4,19.4,0.0,0.0,0.0,9.6,19.4
7967144,2,10 LB,BARILLA,PASTA SPAGHETTI,1000354005,N,1.0,19.26,19.26,0.0,0.0,0.0,20.0,19.26
4528851,1,96 CT,FIELDST,DONUT STICK SWEET GLZE I/W,9715,N,1.0,18.98,18.98,0.0,0.0,0.0,11.4,18.98
7818743,2,5 LB,UNC BEN,RICE BASMATI,109510,N,1.0,17.98,17.98,0.0,0.0,0.0,10.0,17.98
0447306,12,8OZ,HOUSE,TOFU FRESH SHIRATAKI FETTUCINE,82353,N,1.0,17.95,17.95,0.0,0.0,0.0,6.0,17.95
5661582,48,3.5 OZ,HUNTS,PUDDING CHOCOLATE SNACK PACK,2700055418,N,1.0,17.95,17.95,0.0,0.0,0.0,10.5,17.95
1535368,6,12 CT,THOMAS,MUFFIN ENGLISH ORIG 2 OZ,1178720-094015,N,1.0,17.31,17.31,0.0,0.0,0.0,10.5,17.31
6590350,6,160 CT,LA BAND,TORTILLA CORN YEL 6,2704,N,1.0,17.29,17.29,0.0,0.0,0.0,31.87,17.29
4204996,500,2 CT,HSRCCLS,CRACKER SALTINE,7486502808,N,1.0,17.24,17.24,0.0,0.0,0.0,6.4,17.24
1612092,6,32 OZ,YOPLAIT,YOGURT PLAIN ORIGINAL FTFR,70470-00438,N,1.0,16.56,16.56,0.0,0.0,0.0,12.0,16.56
2527653,2,5LB,SYS IMP,CRANBERRY WHL IQF,26010,N,1.0,15.81,15.81,0.0,0.0,0.0,10.0,15.81
4043949,200,.5 OZ,SMUCKER,JAM STRAWBERRY CUP,5150000767,N,1.0,15.55,15.55,0.0,0.0,0.0,6.25,15.55
4096954,1,20 LB,SYS CLS,BEAN LENTIL DRIED,LEN10201SY,N,1.0,15.52,15.52,0.0,0.0,0.0,20.0,15.52
4088811,40,25CT,SYSCO,CUP FOAM 6OZ,88811,N,1.0,15.14,15.14,0.0,0.0,0.0,4.6,15.14
5932280,100,1.1 OZ,SMUCKER,SYRUP BREAKFAST SUGAR FREE,5150002277,N,1.0,14.94,14.94,0.0,0.0,0.0,6.875,14.94
4069926,8,12 OZ,BARILLA,PASTA PENNE RIGATE GLUTEN FREE,1000011509,N,1.0,14.38,14.38,0.0,0.0,0.0,6.0,14.38
8474538,1,4 LB,IMPFRSH,SPINACH BABY FRSH,8474538,N,1.0,14.13,14.13,0.0,0.0,0.0,4.0,14.13
3758844,1,5 LB,IMPFRSH,MUSHROOM CRIMINI UNSZD FRESH,3758844,N,1.0,13.7,13.7,0.0,0.0,0.0,5.0,13.7
7435191,1,12IN,SYS CLS,FILM PVC ROLL 2000FT,9062,N,1.0,13.06,13.06,0.0,0.0,0.0,6.0,13.06
4908299,100,1.4 OZ,SMUCKER,SYRUP BREAKFAST CUP,5150002283,N,1.0,12.48,12.48,0.0,0.0,0.0,8.75,12.48
7228943,6,24 OZ,IMP/MCC,SEASONING ROTISSERIE CHKN,974216,N,0.0,0.0,0.0,1.0,11.84,11.84,1.5,11.84
8399925,1,10 LB,IMPFRSH,ONION RED JUMBO CTN,80120,N,1.0,11.8,11.8,0.0,0.0,0.0,10.0,11.8
7410723,1,12 CT,IMPFRSH,PARSLEY FRESH,7410723,N,1.0,11.46,11.46,0.0,0.0,0.0,3.166,11.46
5319342,6,21 OZ,FRANKS,SEASONING RED HOT ORIG,901559215,N,0.0,0.0,0.0,1.0,11.12,11.12,1.325,11.12
7677784,6,50 CT,CITVCLS,COCOA MIX IND DUTCH,29611,N,0.0,0.0,0.0,1.0,11.0,11.0,3.125,11.0
6297166,6,20 OZ,MC CORM,SEASONING VEGETABLE GRL MATE,900036607,N,0.0,0.0,0.0,1.0,10.28,10.28,1.25,10.28
0475402,4,1 GAL,SAHAR B,JUICE LEMON PLAS RTU,3200402SB,N,0.0,0.0,0.0,1.0,9.71,9.71,8.0,9.71
1048248,1,6 CT,IMPFRSH,CILANTRO BUNCH FRESH,800350,N,1.0,9.17,9.17,0.0,0.0,0.0,2.5,9.17
8399842,1,10 LB,IMPFRSH,ONION WHITE JMBO CTN,80125,N,1.0,8.75,8.75,0.0,0.0,0.0,10.0,8.75
