0951931,10.0,100 CT,SYS REL,GLOVE LATEX FDSVC PF LG,304763373,N,61,7605.35,124.677868,32,441.32,13.79125,834.41,8046.67
2404135,4.0,5 LB,CASAIMP,CHEESE CHDR MILD FTHR SHRD YEL,10985CS,N,135,7436.93,55.08837,40,567.7,14.1925,2900.0,8004.63
7565817,1.0,EACH,SOTF,SUPPLY EQUIPMENT ON THE FLY,70000000000009,N,9,7872.16,874.684444,0,0.0,0.0,54.0,7872.16
2476596,4.0,5 LB,CASAIMP,CHEESE MONTEREY JACK FCY SHRED,2939C4,N,132,7750.72,58.717575,2,26.36,13.18,2650.0,7777.08
1050954,6.0,5 LB,LAMBSUP,POTATO TATER PUFF,H30,N,270,7710.57,28.557666,0,0.0,0.0,8100.0,7710.57
2282234,12.0,2 LB,SYS CLS,SPINACH CHOPPED IQF,10074865280454,N,193,7669.17,39.736632,0,0.0,0.0,4632.0,7669.17
3522794,216.0,2.2 OZ,BKRSIMP,DOUGH BISCUIT SOTHRN STY,9092,N,223,7627.08,34.202152,0,0.0,0.0,6623.1,7627.08
1458223,1.0,15 LB,PIERCE,CHICKEN BRD 8PC PRCK SUP-CHIC,65115,N,160,7536.24,47.1015,0,0.0,0.0,2400.0,7536.24
5435177,8.0,16 OZ,TRIO,SAUCE MIX ALFREDO,10050000385024,N,121,7459.63,61.649834,0,0.0,0.0,968.0,7459.63
7626013,1.0,35 LB,SYS CLS,SHORTENING FRY CANOLA CLR ZTF,110032616,N,221,7421.51,33.581493,0,0.0,0.0,7735.0,7421.51
4518403,1.0,35 LB,SYS REL,SHORTENING FRY LIQ CLR ZTF,5020553,N,313,7409.66,23.673035,0,0.0,0.0,10955.0,7409.66
4826798,2.0,7#AVG,AUSTBLU,BEEF BRISKET SLI,39029,Y,61,7331.7,120.191803,0,0.0,0.0,864.96,7331.7
5250663,500.0,6X6X3,DART,CONTAINER PLAS CLR HNG 1C 6IN,C57PST1,N,195,7276.8,37.316923,0,0.0,0.0,3705.0,7276.8
3760691,2.0,8-10#,BBRLCLS,TURKEY BRST OIL BROWNED 5-7 PC,2264591482,Y,125,7164.02,57.31216,0,0.0,0.0,2229.79,7164.02
2626547,8.0,8 CT,BKRSCLS,BUN HAMBURGER PLAIN 5 IN,51633,N,358,7132.03,19.921871,0,0.0,0.0,4296.0,7132.03
5211552,6.0,10#,ANG MIA,SAUCE MARINARA CA,2700039125,N,206,6944.07,33.709077,0,0.0,0.0,8690.5,6944.07
0055507,3.0,3 LTR,SUNKSTS,JUICE ORANGE FZN CONC 3X3L 4+1,10000650,N,99,6848.24,69.174141,0,0.0,0.0,2419.56,6848.24
7725684,6.0,11#AVG,PACKER,BEEF KNUCKLE HALAL,,Y,31,6766.26,218.266451,0,0.0,0.0,2084.5,6766.26
8391924,2.0,5 LB,TYSONRL,CHICKEN BRST STRIP GRL PCK NAE,10383050928,N,190,6534.6,34.392631,0,0.0,0.0,1900.0,6534.6
4360901,6.0,2 LB,WHLFCLS,YOGURT PLAIN GREEK NON-FAT,STK18131,N,258,6235.51,24.168643,0,0.0,0.0,3096.0,6235.51
8416915,114.0,1.4 OZ,TYSONRL,CHICKEN TNDR BRD GLDN NAE,10383840928,N,320,6217.8,19.430625,0,0.0,0.0,3200.0,6217.8
1012566,10.0,3 LB,WHLFIMP,CHEESE CREAM LOAF,STK11772,N,68,3754.08,55.207058,434,2390.35,5.507718,3342.0,6144.43
1114016,80.0,4 OZ,FIREREL,BEEF PATTY 80/20 RND FRZ,7701174,N,106,6105.91,57.602924,0,0.0,0.0,2120.0,6105.91
3222686,4.0,1 GAL,SYS CLS,OIL CANOLA SAL,210602,N,142,5889.48,41.475211,0,0.0,0.0,4362.24,5889.48
