"013425 ST. ANDREWS SEWANEE SCHOOL, 290 QUINTARD RD, SEWANEE, TN 37375-3071",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 15
0951931,10,100 CT,SYS REL,GLOVE LATEX FDSVC PF LG,304763373,N,1.0,111.82,111.82,0.0,0.0,0.0,15.21,111.82
4136768,1000,9 GM,HEINZ,KETCHUP PACKET FCY,10013000984802,N,4.0,110.84,27.71,0.0,0.0,0.0,88.0,110.84
4185775,3,3 L,SUNKSTS,JUICE CONC FRZ CRANCKT 10%,12306070,N,2.0,109.52,54.76,0.0,0.0,0.0,47.84,109.52
6276267,8,112 CT,JOY,CONE CAKE #10 CUP DSPNSR,292,N,2.0,109.36,54.68,0.0,0.0,0.0,21.808,109.36
7133036,2,5 LB,SYS CLS,CHICKEN MEAT DICED WT/DK.5,15347,N,3.0,109.29,36.43,0.0,0.0,0.0,30.0,109.29
7051699,48,2.8OZ,SWEETST,BROWNIE CHOC IW MANIF GF,3337,N,2.0,108.52,54.26,0.0,0.0,0.0,17.4,108.52
3242948,200,EA,SYS REL,WIPER TOWEL PNK/WHT 13X20 DRY,8507ASYS,N,6.0,106.62,17.77,0.0,0.0,0.0,16.8,106.62
4645388,3,2 LB,SYS CLS,WALNUT HALF & PIECES,4645388,N,2.0,106.28,53.14,0.0,0.0,0.0,12.0,106.28
7102260,15,6 CT,BKRSCLS,BAGEL PLAIN SLI 3 OZ,7102260,N,3.0,103.77,34.59,0.0,0.0,0.0,50.625,103.77
6040760,12,3 LB,SYS CLS,SALT KOSHER FLAKE COARSE,100012745,N,3.0,102.75,34.25,0.0,0.0,0.0,108.0,102.75
4396446,4,45 OZ,GM,CEREAL CINN TST CRUN BULKPAK,16000-11813,N,2.0,102.62,51.31,0.0,0.0,0.0,24.0,102.62
3890755,24,16.9OZ,NIAGARA,WATER BOTTLED DRINKING,27541-00911,N,20.0,101.6,5.08,0.0,0.0,0.0,463.6,101.6
2430951,2,5 LB,NATHANS,FRANK ALL-BEEF 4X1 6,88313097114,N,3.0,101.25,33.75,0.0,0.0,0.0,30.0,101.25
3560679,12,32 OZ,SILK,MILK SOY PLAIN,136934,N,5.0,101.0,20.2,0.0,0.0,0.0,120.0,101.0
6040885,2,10 LB,LABELLA,PASTA CAVATAPPI,2S7013Q0660,N,5.0,100.9,20.18,0.0,0.0,0.0,100.0,100.9
9271115,12,2 LB,SYS IMP,ONION RING GRMT BRD 5/8,41010024,N,2.0,100.7,50.35,0.0,0.0,0.0,48.0,100.7
7127803,1,96 CT,KOCH,CHICKEN PRTN BREADED 8 PCE,89692,Y,2.0,100.12,50.06,0.0,0.0,0.0,72.6,100.12
4889291,1,5 LB,SYS CLS,PECAN PCS FCY MED RAW,7486571810,N,2.0,99.84,49.92,0.0,0.0,0.0,10.0,99.84
1049865,6,6 LB,LAMB,POTATO H/BRN DICE SKIN-ON CTRY,C73,N,3.0,99.84,33.28,0.0,0.0,0.0,108.0,99.84
5963848,3,2LB,SYS CLS,ALMOND BLANCHED SLICED,S5963848,N,2.0,99.52,49.76,0.0,0.0,0.0,12.0,99.52
6469217,6,#10,SYS CLS,PEAR HVS IN PEAR JUICE,9101000904,N,2.0,99.5,49.75,0.0,0.0,0.0,78.8,99.5
1612092,6,32 OZ,YOPLAIT,YOGURT PLAIN ORIGINAL FTFR,70470-00438,N,6.0,99.36,16.56,0.0,0.0,0.0,72.0,99.36
1841982,6,1.5 LB,GR LAKE,CHEESE PROV SMK SLI .75 OZ,99813,N,4.0,97.36,24.34,0.0,0.0,0.0,36.0,97.36
2368769,2,12.5LB,AREZIMP,PEPPERONI SLICED PORK&BF14-16C,68769-071,N,1.0,97.35,97.35,0.0,0.0,0.0,25.0,97.35
7293283,40,FULL,SYS CLS,PAN FOIL STM TBL FULL DP 3-3/8,Y6050XHSYS,N,3.0,96.93,32.31,0.0,0.0,0.0,37.314,96.93
6031741,4,.5 GAL,MINOR,SAUCE GENERAL TSO,50000313105USL,N,2.0,94.72,47.36,0.0,0.0,0.0,44.0,94.72
5543137,12,5 OZ,CHOLULA,SAUCE HOT,901607498,N,4.0,94.0,23.5,0.0,0.0,0.0,14.8,94.0
6348015,6,#10,SYS CLS,FILLING PIE APPLE,FFPFR0110SYS02,N,2.0,93.38,46.69,0.0,0.0,0.0,92.0,93.38
5096466,6,10#,SYS IMP,TOMATO DICED IN JUICE MW,SYIBY99,N,4.0,93.0,23.25,0.0,0.0,0.0,153.2,93.0
1590934,6,2 LB,SYS IMP,OKRA BRD SOUTHERN STYLE,4009325,N,6.0,92.46,15.41,0.0,0.0,0.0,72.0,92.46
7094201,72,CT,SYSCO,FUEL CANNED HEAT ETHANOL GEL,20624,N,2.0,91.94,45.97,0.0,0.0,0.0,53.96,91.94
4786943,2,10 LB,LABELLA,PASTA SHELL MED,2S7102Q0660,N,4.0,91.56,22.89,0.0,0.0,0.0,80.0,91.56
1854179,6,64 OZ,SILK,MILK COCONUT ORIG ESL,136453,N,5.0,90.9,18.18,0.0,0.0,0.0,127.55,90.9
4978872,6,#10,SYS CLS,TOMATO DICED IN JUICE MW,SYCBQ99,N,4.0,90.88,22.72,0.0,0.0,0.0,153.0,90.88
4005617,4,1 GAL,KIKOMAN,SAUCE TERIYAKI,1044,N,2.0,87.62,43.81,0.0,0.0,0.0,84.1,87.62
0494270,3,35OZ,TASTHAI,CURRY PASTE GREEN,8064,N,2.0,86.66,43.33,0.0,0.0,0.0,15.3,86.66
1487701,3,35 OZ,TASTHAI,CURRY PASTE RED BASE,11026-4,N,2.0,86.66,43.33,0.0,0.0,0.0,15.3,86.66
0013553,6,5LB,ORE IDA,POTATO TATER TOT VERSITOT,OIF00215A,N,3.0,85.65,28.55,0.0,0.0,0.0,90.0,85.65
5183159,50,3.5 OZ,BEYMEAT,SAUSAGE VEGETARIAN ITAL SWT,4743,N,1.0,84.85,84.85,0.0,0.0,0.0,11.0,84.85
5884291,4,1 GAL,CATLMEN,SAUCE BBQ GOLD SWEET & TANGY,410540082,N,2.0,84.78,42.39,0.0,0.0,0.0,79.2,84.78
5848031,6,36 OZ,SYS IMP,RICE SPANISH,P1SY363C1,N,3.0,84.66,28.22,0.0,0.0,0.0,40.5,84.66
6938500,6,500CT,SYSCO,FOIL SHEET 9X10.75IN SILVER,W69372,N,2.0,83.98,41.99,0.0,0.0,0.0,31.0,83.98
4065157,4,31 OZ,KELLOGG,CEREAL APPLE JACKS,3800002991,N,2.0,81.6,40.8,0.0,0.0,0.0,16.6,81.6
4862702,2,10 LB,LABELLA,PASTA MACARONI ELBOW SMOOTH,S8096Q0660,N,4.0,80.64,20.16,0.0,0.0,0.0,80.0,80.64
6791432,45,"7""",EUROBKE,BREAD CUBAN STY LOAF 7,67001,N,4.0,80.2,20.05,0.0,0.0,0.0,50.8,80.2
7102146,15,6 CT,BKRSCLS,BAGEL CINN RSN SWRL 3OZ SLI SV,7102146,N,2.0,80.11,40.055,0.0,0.0,0.0,33.75,80.11
6976872,6,#10,SYS CLS,HASH CORNED BEEF,690VS-SYS,N,1.0,79.88,79.88,0.0,0.0,0.0,41.25,79.88
5078290,6,1.5 LB,SYS IMP,MIX GRAVY PEPPERED ZTF,92123,N,4.0,79.32,19.83,0.0,0.0,0.0,36.0,79.32
1678481,6,4 LB,SYS CLS,CHEESECAKE MIX NO BAKE NY STY,53890,N,1.0,79.01,79.01,0.0,0.0,0.0,24.0,79.01
9909696,72,3.2 OZ,PRTZLLA,PRETZEL SOFT BURGER BUN VEGAN,109282,N,2.0,78.32,39.16,0.0,0.0,0.0,28.8,78.32
9669128,12,10 CT,BKRSCLS,BREAD PITA 6,9669128,N,3.0,78.15,26.05,0.0,0.0,0.0,58.5,78.15
1169960,12,16 OZ,RICHS,TOPPING WHPD ON-TOP,2559,N,2.0,77.98,38.99,0.0,0.0,0.0,24.52,77.98
8476640,1,25 LB,NABISCO,COOKIE CRUMB OREO MED PCS,10019320029568,N,1.0,75.51,75.51,0.0,0.0,0.0,25.0,75.51
2451243,1,25 LB,UNC BEN,RICE BROWN WHOLE GRAIN,12111,N,3.0,75.27,25.09,0.0,0.0,0.0,75.0,75.27
3554553,8,1.5 LB,BBRLIMP,CHEESE MONT PEPP JACK SLI .75,170751,N,2.0,75.19,37.595,0.0,0.0,0.0,24.0,75.19
2163087,6,#10,ROLAND,CORN BABY CUT,45116,N,2.0,75.1,37.55,0.0,0.0,0.0,90.0,75.1
2952465,12,120 GR,SC INTL,BROTH VEG CONC PHO,30462-120,N,2.0,74.92,37.46,0.0,0.0,0.0,6.4,74.92
8932147,6,14OZ,D'ALLAS,SPICE GARAM MASALA,H76B,N,1.0,74.74,74.74,0.0,0.0,0.0,6.0,74.74
5914908,3,2 LB,IMP/MCC,SPICE PEPPER BLK POCH SHKR GRD,900011132,N,1.0,74.48,74.48,0.0,0.0,0.0,6.0,74.48
