Category,Item #,Pack,Size,Brand,Description,MPC Code,CW,Cs Qty,Cs Total $,Cs Avg $,Split Qty,Split Total $,Split Avg $,Weight,Total Sales $
NA,2836975,288.0,SLICE,HORMEL,BACON PRECOOKED C/C 13/17 BCN1,20182,N,2.0,217.76,108.88,0.0,0.0,0.0,14.0,217.76
NA,4321713,4.0,10 LB,SYS CLS,CHICKEN CVP BRST TRIM SM BIRD,56,N,3.0,209.49,69.83,0.0,0.0,0.0,120.0,209.49
NA,2000139,6.0,4.5LB,SYS IMP,POTATO FRY SKON WAFFLE,10734730409457,N,6.0,208.8,34.8,0.0,0.0,0.0,162.0,208.8
NA,0055507,3.0,3 LTR,SUNKSTS,JUICE ORANGE FZN CONC 3X3L 4+1,10000650,N,3.0,207.54,69.18,0.0,0.0,0.0,73.32,207.54
NA,2467736,3.0,3 LB,AREZCLS,PASTA TORTELLINI CHEESE PRECKD,7736,N,7.0,207.2,29.6,0.0,0.0,0.0,63.0,207.2
NA,4003109,6.0,2.5 LB,SYS CLS,POTATO HASH BRN REDI-SHRD,4003109,N,5.0,207.05,41.41,0.0,0.0,0.0,75.0,207.05
NA,5886381,2.0,10 LB,SYS CLS,BACON LAYFLAT C/C 14/18 APL GF,1068,N,2.0,204.6,102.3,0.0,0.0,0.0,40.0,204.6
NA,4384214,168.0,1OZ,AREZIMP,CHEESE MOZZ STRING,1008741,N,6.0,200.28,33.38,0.0,0.0,0.0,63.0,200.28
NA,1102995,2.0,8-10#,SYS IMP,TURKEY BRST BNLS RAW FOIL,2265570132,Y,3.0,194.08,64.693333,0.0,0.0,0.0,56.06,194.08
NA,7168746,252.0,1.45OZ,CHRISTI,DOUGH COOKIE CHOC CHIP,39134,N,4.0,192.72,48.18,0.0,0.0,0.0,91.352,192.72
NA,7064540,2.0,75 CT,ERTHPLS,CONTAINER PAPER HNG 9X9 1C FBR,7064540,N,4.0,191.96,47.99,0.0,0.0,0.0,48.96,191.96
NA,4360901,6.0,2 LB,WHLFCLS,YOGURT PLAIN GREEK NON-FAT,STK18131,N,8.0,188.88,23.61,0.0,0.0,0.0,96.0,188.88
NA,5751094,48.0,3 OZ,BKRSIMP,CROISSANT BUTTER RND SLI,5751094,N,5.0,188.11,37.622,0.0,0.0,0.0,38.25,188.11
NA,7524455,6.0,800 FT,ENMTION,TOWEL ROLL ENMOTION BRN HICAP,89480,N,4.0,183.36,45.84,0.0,0.0,0.0,160.44,183.36
NA,9907433,12.0,16 OZ,SMPLYPB,TOFU EXTRA FIRM WTR PK NON-GMO,140549,N,11.0,182.16,16.56,0.0,0.0,0.0,132.0,182.16
NA,8106833,6.0,2 LB,HORMEL,TURKEY BREAST SLI OIL BRN 1 OZ,32493,N,3.0,178.83,59.61,0.0,0.0,0.0,36.0,178.83
NA,2819649,4.0,5LB,CASAIMP,CHEESE CHDR MILD FCY SHRD YEL,1093CS,N,4.0,178.34,44.585,0.0,0.0,0.0,80.0,178.34
NA,4805669,2000.0,EA,SYSCO,GUEST CHECK NO CARB 2 PART GRN,G4797,N,2.0,177.58,88.79,0.0,0.0,0.0,34.0,177.58
NA,2744427,5.0,2LB,SYS REL,TOAST FRENCH STICKS BTRD WG,1000001257,N,8.0,174.64,21.83,0.0,0.0,0.0,80.0,174.64
NA,8351112,6.0,2LB,HORMEL,TURKEY BREAST SLI NAT RST FRSH,10409,N,3.0,174.21,58.07,0.0,0.0,0.0,36.0,174.21
